relation_id,start_id,start_label,end_id,end_label,times
195700,1060,Tweet,57775,User,
195701,1065,Tweet,97255,User,
195702,1068,Tweet,96123,User,
195703,1070,Tweet,92190,User,
195704,1073,Tweet,56913,User,
195705,1074,Tweet,97257,User,
195706,1075,Tweet,95162,User,
195707,1083,Tweet,97258,User,
195708,1085,Tweet,57263,User,
195709,1087,Tweet,97259,User,
195710,1091,Tweet,58929,User,
195711,1092,Tweet,97260,User,
195712,1094,Tweet,96123,User,
195713,1109,Tweet,79100,User,
195714,1110,Tweet,97263,User,
195715,1122,Tweet,97265,User,
195716,1124,Tweet,97266,User,
195717,1128,Tweet,97267,User,
195718,1137,Tweet,97269,User,
195719,1139,Tweet,97270,User,
195720,1141,Tweet,97271,User,
195721,1145,Tweet,92190,User,
195722,1147,Tweet,97272,User,
195723,1151,Tweet,94737,User,
195724,1156,Tweet,97273,User,
195725,1157,Tweet,97274,User,
195726,1157,Tweet,57113,User,
195727,1159,Tweet,56586,User,
195728,1172,Tweet,92190,User,
195729,1175,Tweet,86735,User,
195730,1180,Tweet,97277,User,
195731,1181,Tweet,83848,User,
195732,1184,Tweet,83848,User,
195733,1188,Tweet,97279,User,
195734,1197,Tweet,89442,User,
195735,1200,Tweet,97280,User,
195736,1201,Tweet,97281,User,
195737,1208,Tweet,97282,User,
195738,1210,Tweet,97199,User,
195739,1211,Tweet,73792,User,
195740,1218,Tweet,59096,User,
195741,1220,Tweet,58108,User,
195742,1226,Tweet,97284,User,
195743,1227,Tweet,64421,User,
195744,1233,Tweet,97285,User,
195745,1235,Tweet,65733,User,
195746,1239,Tweet,97286,User,
195747,1240,Tweet,94737,User,
195748,1244,Tweet,97287,User,
195749,1244,Tweet,56736,User,
195750,1245,Tweet,97288,User,
195751,1250,Tweet,97290,User,
195752,1251,Tweet,97291,User,
195753,1255,Tweet,97292,User,
195754,1256,Tweet,56965,User,
195755,1257,Tweet,97255,User,
195756,1262,Tweet,97297,User,
195757,1267,Tweet,97294,User,
195758,1268,Tweet,91737,User,
195759,1269,Tweet,96773,User,
195760,1275,Tweet,95162,User,
195761,1278,Tweet,97297,User,
195762,1287,Tweet,96179,User,
195763,1295,Tweet,57775,User,
195764,1301,Tweet,97302,User,
195765,1303,Tweet,97303,User,
195766,1303,Tweet,97304,User,
195767,1307,Tweet,83348,User,
195768,1308,Tweet,97304,User,
195769,1308,Tweet,97303,User,
195770,1314,Tweet,57700,User,
195771,1319,Tweet,57271,User,
195772,1320,Tweet,92190,User,
195773,1321,Tweet,92190,User,
195774,1322,Tweet,88246,User,
195775,1329,Tweet,90039,User,
195776,1330,Tweet,79100,User,
195777,1331,Tweet,88567,User,
195778,1333,Tweet,79100,User,
195779,1334,Tweet,90039,User,
195780,1335,Tweet,88567,User,
195781,1336,Tweet,88567,User,
195782,1337,Tweet,88567,User,
195783,1337,Tweet,79100,User,
195784,1338,Tweet,90039,User,
195785,1339,Tweet,88567,User,
195786,1339,Tweet,79100,User,
195787,1340,Tweet,79100,User,
195788,1342,Tweet,88567,User,
