reply_to_id,start_id,start_label,end_id,end_label
188815,40115,Tweet,42497,Tweet
188816,40227,Tweet,39980,Tweet
188817,40314,Tweet,39539,Tweet
188818,40825,Tweet,40930,Tweet
188819,40918,Tweet,40930,Tweet
188820,41347,Tweet,42368,Tweet
188821,41449,Tweet,41361,Tweet
188822,41558,Tweet,40930,Tweet
188823,41568,Tweet,41589,Tweet
188824,41583,Tweet,40930,Tweet
188825,42497,Tweet,40357,Tweet
188826,42568,Tweet,41589,Tweet
188827,42730,Tweet,51607,Tweet
188828,42833,Tweet,41929,Tweet
188829,42866,Tweet,40930,Tweet
188830,44892,Tweet,43641,Tweet
188831,45308,Tweet,47231,Tweet
188832,45610,Tweet,47231,Tweet
188833,45750,Tweet,46009,Tweet
188834,45846,Tweet,46414,Tweet
188835,45997,Tweet,46117,Tweet
188836,46123,Tweet,46594,Tweet
188837,46341,Tweet,46340,Tweet
188838,46342,Tweet,46341,Tweet
188839,46385,Tweet,47212,Tweet
188840,46501,Tweet,46769,Tweet
188841,46512,Tweet,46689,Tweet
188842,46619,Tweet,47529,Tweet
188843,46634,Tweet,46731,Tweet
188844,46662,Tweet,46982,Tweet
188845,46684,Tweet,46683,Tweet
188846,46782,Tweet,47294,Tweet
188847,46796,Tweet,46982,Tweet
188848,46886,Tweet,51758,Tweet
188849,46922,Tweet,51759,Tweet
188850,46925,Tweet,47054,Tweet
188851,46978,Tweet,47054,Tweet
188852,46985,Tweet,46962,Tweet
188853,46999,Tweet,51751,Tweet
188854,47003,Tweet,39698,Tweet
188855,47025,Tweet,47231,Tweet
188856,47043,Tweet,47225,Tweet
188857,47113,Tweet,47110,Tweet
188858,47451,Tweet,47450,Tweet
188859,47490,Tweet,47468,Tweet
188860,47694,Tweet,47690,Tweet
188861,47740,Tweet,47838,Tweet
188862,47808,Tweet,48499,Tweet
188863,47899,Tweet,48499,Tweet
188864,47984,Tweet,48499,Tweet
188865,48068,Tweet,48499,Tweet
188866,48141,Tweet,48499,Tweet
188867,48218,Tweet,48499,Tweet
188868,48271,Tweet,48165,Tweet
188869,48293,Tweet,48499,Tweet
188870,48364,Tweet,48499,Tweet
188871,48569,Tweet,48499,Tweet
188872,48760,Tweet,49596,Tweet
188873,48826,Tweet,48499,Tweet
188874,49964,Tweet,49915,Tweet
188875,50779,Tweet,50666,Tweet
188876,51227,Tweet,34056,Tweet
188877,51259,Tweet,34493,Tweet
188878,51298,Tweet,35609,Tweet
188879,51660,Tweet,51702,Tweet
188880,51747,Tweet,51759,Tweet
188881,51759,Tweet,47571,Tweet
188882,52681,Tweet,52680,Tweet
188883,53119,Tweet,53023,Tweet
188884,53214,Tweet,53213,Tweet
188885,53648,Tweet,53637,Tweet
188886,53737,Tweet,53729,Tweet
188887,54286,Tweet,54385,Tweet
188888,56134,Tweet,56118,Tweet
188889,56154,Tweet,56153,Tweet
188890,56314,Tweet,51137,Tweet
188891,56447,Tweet,33769,Tweet
188892,56479,Tweet,34234,Tweet
193270,623,Tweet,56771,User
193271,636,Tweet,56578,User
193272,641,Tweet,56624,User
193273,785,Tweet,97155,User
193274,892,Tweet,97239,User
193275,930,Tweet,96495,User
193276,958,Tweet,94684,User
193277,1227,Tweet,64421,User
193278,1314,Tweet,57700,User
193279,1334,Tweet,90039,User
193280,1365,Tweet,90039,User
193281,1646,Tweet,57933,User
193282,1765,Tweet,95135,User
193283,1814,Tweet,92190,User
193284,1816,Tweet,57742,User
193285,1857,Tweet,57780,User
193286,1874,Tweet,56697,User
193287,1951,Tweet,98634,User
193288,1996,Tweet,64465,User
193289,2018,Tweet,97428,User
193290,2021,Tweet,56578,User
193291,2113,Tweet,58108,User
193292,2182,Tweet,69701,User
193293,2263,Tweet,57263,User
193294,2282,Tweet,56743,User
193295,2322,Tweet,80207,User
193296,2367,Tweet,59020,User
193297,2385,Tweet,92190,User
193298,2386,Tweet,56638,User
193299,2467,Tweet,58330,User
193300,2508,Tweet,97478,User
193301,2545,Tweet,97480,User
193302,2723,Tweet,58484,User
193303,2741,Tweet,58602,User
193304,2755,Tweet,67474,User
193305,2865,Tweet,62810,User
193306,2933,Tweet,97481,User
193307,3093,Tweet,68839,User
193308,3096,Tweet,94701,User
193309,3245,Tweet,82941,User
193310,3282,Tweet,79245,User
193311,3359,Tweet,96405,User
193312,3497,Tweet,95674,User
193313,3518,Tweet,83848,User
193314,3723,Tweet,82914,User
193315,3763,Tweet,59571,User
193316,3889,Tweet,88246,User
193317,3894,Tweet,73169,User
193318,4120,Tweet,59890,User
193319,4201,Tweet,57692,User
193320,4202,Tweet,94737,User
193321,4254,Tweet,94737,User
193322,4336,Tweet,64463,User
193323,4513,Tweet,90039,User
193324,4614,Tweet,98808,User
193325,4624,Tweet,96528,User
193326,4732,Tweet,60832,User
193327,4738,Tweet,60648,User
193328,4762,Tweet,58578,User
193329,4766,Tweet,58602,User
193330,4827,Tweet,60626,User
193331,4832,Tweet,60626,User
193332,4859,Tweet,60832,User
193333,4913,Tweet,96501,User
193334,4944,Tweet,63007,User
193335,4969,Tweet,97879,User
193336,5028,Tweet,97304,User
193337,5038,Tweet,97975,User
193338,5067,Tweet,98775,User
193339,5184,Tweet,69408,User
193340,5185,Tweet,61206,User
193341,5259,Tweet,67357,User
193342,5272,Tweet,98172,User
193343,5284,Tweet,98054,User
193344,5324,Tweet,60997,User
193345,5443,Tweet,61189,User
193346,5448,Tweet,61506,User
193347,5463,Tweet,85291,User
193348,5468,Tweet,58903,User
193349,5495,Tweet,98043,User
193350,5536,Tweet,61034,User
193351,5572,Tweet,98091,User
193352,5596,Tweet,61432,User
193353,5625,Tweet,61287,User
193354,5656,Tweet,85174,User
193355,5670,Tweet,98168,User
193356,5829,Tweet,61555,User
193357,5836,Tweet,98043,User
193358,5953,Tweet,62059,User
193359,5977,Tweet,62059,User
193360,5998,Tweet,61754,User
193361,6010,Tweet,63718,User
193362,6085,Tweet,95198,User
193363,6088,Tweet,61678,User
193364,6097,Tweet,74601,User
193365,6151,Tweet,61889,User
193366,6163,Tweet,61754,User
193367,6204,Tweet,88246,User
193368,6211,Tweet,63205,User
193369,6261,Tweet,98299,User
193370,6331,Tweet,79100,User
193371,6365,Tweet,57824,User
193372,6398,Tweet,61678,User
193373,6406,Tweet,61678,User
193374,6461,Tweet,69817,User
193375,6515,Tweet,74020,User
193376,6527,Tweet,96405,User
193377,6529,Tweet,61678,User
193378,6554,Tweet,96528,User
193379,6677,Tweet,62328,User
193380,6922,Tweet,62571,User
193381,7176,Tweet,90999,User
193382,7216,Tweet,60832,User
193383,7223,Tweet,58597,User
193384,7251,Tweet,58338,User
193385,7307,Tweet,60736,User
193386,7326,Tweet,98589,User
193387,7348,Tweet,67482,User
193388,7369,Tweet,60832,User
193389,7382,Tweet,66685,User
193390,7496,Tweet,58602,User
193391,7499,Tweet,97917,User
193392,7512,Tweet,58501,User
193393,7534,Tweet,58596,User
193394,7562,Tweet,62090,User
193395,7739,Tweet,63434,User
193396,7759,Tweet,63255,User
193397,7761,Tweet,63271,User
193398,7884,Tweet,61796,User
193399,7903,Tweet,63257,User
193400,7919,Tweet,63434,User
193401,7941,Tweet,76163,User
193402,8001,Tweet,96278,User
193403,8028,Tweet,98755,User
193404,8104,Tweet,63255,User
193405,8198,Tweet,61774,User
193406,8307,Tweet,70620,User
193407,8358,Tweet,66524,User
193408,8377,Tweet,68595,User
193409,8411,Tweet,58501,User
193410,8435,Tweet,97513,User
193411,8463,Tweet,63142,User
193412,8464,Tweet,58501,User
193413,8594,Tweet,64056,User
193414,8621,Tweet,64083,User
193415,8681,Tweet,72286,User
193416,8739,Tweet,64670,User
193417,8796,Tweet,96535,User
193418,8800,Tweet,96773,User
193419,8840,Tweet,96185,User
193420,9095,Tweet,72286,User
193421,9113,Tweet,64554,User
193422,9197,Tweet,66094,User
193423,9216,Tweet,88246,User
193424,9259,Tweet,93460,User
193425,9340,Tweet,64670,User
193426,9345,Tweet,66009,User
193427,9364,Tweet,76993,User
193428,9367,Tweet,65558,User
193429,9390,Tweet,58597,User
193430,9398,Tweet,64516,User
193431,9412,Tweet,75744,User
193432,9416,Tweet,98807,User
193433,9423,Tweet,81578,User
193434,9425,Tweet,65996,User
193435,9430,Tweet,97659,User
193436,9464,Tweet,64791,User
193437,9483,Tweet,68261,User
193438,9489,Tweet,65491,User
193439,9540,Tweet,63697,User
193440,9552,Tweet,58879,User
193441,9599,Tweet,58317,User
193442,9638,Tweet,64995,User
193443,9650,Tweet,58578,User
193444,9656,Tweet,58501,User
193445,9697,Tweet,58597,User
193446,9715,Tweet,58501,User
193447,9745,Tweet,65055,User
193448,9766,Tweet,58597,User
193449,9786,Tweet,69024,User
193450,9837,Tweet,62012,User
193451,9859,Tweet,88246,User
193452,9882,Tweet,73401,User
193453,9976,Tweet,65263,User
193454,9978,Tweet,58597,User
193455,9979,Tweet,99458,User
193456,9984,Tweet,58597,User
193457,10013,Tweet,67946,User
193458,10049,Tweet,58578,User
193459,10059,Tweet,65941,User
193460,10091,Tweet,58501,User
193461,10108,Tweet,62805,User
193462,10116,Tweet,58501,User
193463,10126,Tweet,65425,User
193464,10160,Tweet,96426,User
193465,10174,Tweet,65424,User
193466,10177,Tweet,96426,User
193467,10205,Tweet,58484,User
193468,10212,Tweet,58501,User
193469,10219,Tweet,58597,User
193470,10220,Tweet,64515,User
193471,10271,Tweet,96426,User
193472,10383,Tweet,65263,User
193473,10385,Tweet,63711,User
193474,10447,Tweet,65541,User
193475,10458,Tweet,58484,User
193476,10461,Tweet,65174,User
193477,10468,Tweet,66625,User
193478,10469,Tweet,65758,User
193479,10485,Tweet,96535,User
193480,10506,Tweet,58484,User
193481,10509,Tweet,58298,User
193482,10533,Tweet,96426,User
193483,10551,Tweet,58317,User
193484,10555,Tweet,65721,User
193485,10595,Tweet,66869,User
193486,10650,Tweet,96426,User
